Timestamp,where do you belong?,If you need to purchase a stove what will you consider first,which stove you are currently using?,How much it cost's you monthly(bill)?,Cost of your Stove?,Do you have load-shedding of Gas or electricity in you area?,what improvement you want to see in stove in near future?,How long(time) does it takes to cook a meal for a day?,Do you think we can utilize our non-renewable energy somewhere else instead of wasting it for cooking?,Have you ever forget to turn off you stove after cooking?,Do you think that to have a gas stove at home is risky and dangerous?,Do you think it is preferable to have a portable cooking system?(for picnic etc),will you prefer a cooker with no headache of electricity or gas bill?,Do you think there should be a timer in your Stove?,Have you ever over cooked your food accidently?,Have you ever hurt yourself from fire while cooking?,In rural areas since there is no electricity or gas therefore mostly people use handmade stoves which release harmful smoke. Do you think it is a cause of  air pollution?,Sometimes gas is not available then how do you manage to cook? do you cook at low flame or use some other method? How long does it takes to cook food?,Do you think Cooking food with gas raises the risk of lung cancer?,Life time of your Stove?,What else difficulties do you face while cooking?,How much you are willing to spend on a cooker which is  [Easy to use],How much you are willing to spend on a cooker which is  [Energy Efficient],How much you are willing to spend on a cooker which is  [Safer ],How much you are willing to spend on a cooker which is  [provide precise temperature control],How much you are willing to spend on a cooker which is  [Time Efficient],How much you are willing to spend on a cooker which is  [Only one time investment],How much you are willing to spend on a cooker which is  [longer lifetime],How much you are willing to spend on a cooker which is  [All in one with finest quality],Any Remarks?
2020/11/09 11:15:48 PM GMT+5,City,safety;long live;easy to use,Gas stove,less than 2000,4k-----8k,Both,,2 hrs,disagree,No,Disagree,agree,Strongly agree,yes,Yes,Not sure,Agree,"low flame, 4 hr",Not sure,5,,less than 10k,less than 10k,10k-----15k,10k-----15k,20k-----25k,more than 25k,more than 25k,10k-----15k,
2020/11/09 11:36:42 PM GMT+5,City,cost effective;power efficient;safety;long live,Gas stove,4000-----6000,4k-----8k,Both,Availability of gas,3 hrs,disagree,No,Disagree,Not sure,Strongly agree,yes,Yes,Agree,Strongly agree,Buy food from outside,Not sure,6,Different levels of gas ,less than 10k,less than 10k,10k-----15k,less than 10k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,Great survey 
2020/11/09 11:37:26 PM GMT+5,City,safety;long live;portable,Gas stove,less than 2000,4k-----8k,Electricity,Must be light weight,1 hr,not sure,No,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Not sure,I used low flame to cook food and i takes more than 1 hour,Disagree,5,No i didn't face difficulties,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,10k-----15k,10k-----15k,less than 10k,
2020/11/09 11:56:27 PM GMT+5,City,safety,Electric stove,2000-----4000,4k-----8k,Gas,,3 hrs,not sure,No,Agree,Not sure,Agree,Maybe,Yes,Agree,Agree,,Not sure,5,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/10 11:30:37 AM GMT+5,City,long live,Electric stove,2000-----4000,4k-----8k,Both,Gas shortage is big problem kindly solve this matter urgently,3 hrs,agree,Yes,Agree,disagree,Agree,yes,No,Agree,Strongly agree,we cook food with low flame & its take's time ,Not sure,6,There is no no difficulties expect low flame ,10k-----15k,10k-----15k,15k-----20k,10k-----15k,10k-----15k,20k-----25k,15k-----20k,10k-----15k,Gas & Electricity is the basic needs of home Govt should be take action & resolve this matter Thankyou 
2020/11/11 5:19:24 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Gas,,2 hrs,agree,Yes,Agree,Not sure,Not sure,yes,Yes,Agree,Disagree,,Disagree,8,,less than 10k,10k-----15k,15k-----20k,15k-----20k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,Temperature conrtrol is best. 
2020/11/14 12:27:13 AM GMT+5,City,cost effective;power efficient;safety;long live;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Electricity,"Less gas consumption, high efficient, automatic on/off according to conditions like boiling of milk etc... or control by mobile phone",1 hr,not sure,Yes,Agree,agree,Strongly agree,yes,No,Agree,Agree,We use cylinder or buy food from restaurant ,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/12/08 11:34:28 AM GMT+5,City,cost effective;safety;easy to use,Gas stove,less than 2000,8k-----12k,Electricity,,1 hr,agree,Yes,Agree,agree,Agree,yes,No,Not sure,Agree,,Not sure,4,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,10k-----15k,less than 10k,
2020/12/08 11:47:20 AM GMT+5,City,power efficient,Gas stove,less than 2000,4k-----8k,Electricity,Electrical stove should be less power consuming.,1 hr,agree,No,Disagree,Strongly agree,Strongly agree,yes,Yes,Agree,Disagree,Order online,Disagree,6,Nothing,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,
2020/12/08 12:21:22 PM GMT+5,City,cost effective;power efficient;safety;long live;easy to use,Gas stove,less than 2000,4k-----8k,Both,To be functional / operational all day,2 hrs,not sure,No,Not sure,agree,Strongly agree,yes,Yes,Not sure,Strongly agree,"manage time, cook only when gas is available. OR hotel",Not sure,5,Nil,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/12/08 12:23:54 PM GMT+5,City,safety;long live;less pollution,Gas stove,less than 2000,4k-----8k,Both,,1 hr,disagree,No,Agree,agree,Agree,yes,Yes,Agree,Agree,I cook on low flame and it takes hours ,Not sure,5,,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,"This survey was very long, hope you do some good with it"
2020/12/08 12:44:39 PM GMT+5,City,power efficient;safety,Gas stove,less than 2000,12k-----16k,Gas,Gas shortages,3 hrs,agree,Yes,Strongly agree,agree,Agree,no,No,Not sure,Agree,Hotels,agree,7,Time,10k-----15k,less than 10k,15k-----20k,10k-----15k,15k-----20k,less than 10k,15k-----20k,10k-----15k,
2020/12/08 12:54:13 PM GMT+5,City,safety,Gas stove,less than 2000,more than 16k,Gas,Would be safe and less polluted ,Depending on the decided meal,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,"It took long time , I use microwave oven first then kept  it on low flame now Im thinking to use coal ",Strongly Disagree,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,This is my wish to use solar power instead of electricity and natural gas all over Pakistan . Thanks 
2020/12/08 3:39:07 PM GMT+5,City,long live,Both,less than 2000,more than 16k,Electricity,Microwave in it,Half hour,agree,No,Disagree,agree,Strongly agree,yes,Yes,Agree,Disagree,Never had gas problems,Disagree,10,None,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,
2020/12/08 3:48:54 PM GMT+5,City,cost effective;power efficient;safety;long live,Gas stove,less than 2000,12k-----16k,Both,Cost and time effective. Always available.,2 hrs,Strongly agree,Yes,Agree,agree,Strongly agree,yes,Yes,Agree,Strongly agree,"Wait, order food, or use electrical appliances",agree,10,Cleaning,less than 10k,15k-----20k,10k-----15k,less than 10k,less than 10k,15k-----20k,15k-----20k,15k-----20k,Need of time.
2020/12/08 3:53:39 PM GMT+5,City,safety,Gas stove,less than 2000,8k-----12k,Both,Fast and safe ,3 hrs,not sure,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Maybe,Strongly agree,Strongly agree,Cook at low flame,Not sure,5,Heat ,less than 10k,10k-----15k,10k-----15k,15k-----20k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,
2020/12/08 3:57:31 PM GMT+5,Hyderabad,power efficient;safety;long live;portable;easy to use,Gas stove,less than 2000,4k-----8k,Both,Its should be portable.,3 hrs,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,,Strongly agree,9,,less than 10k,less than 10k,less than 10k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,
2020/12/08 4:00:50 PM GMT+5,City,power efficient;safety;portable;easy to use,Gas stove,2000-----4000,4k-----8k,Both,We need electric stove plus it can operated on ups ..,2 hrs,Strongly agree,No,Not sure,agree,Agree,yes,Yes,Not sure,Strongly agree,We do cook in baking oven then,Strongly agree,7,Gas iisue,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,Thank u 
2020/12/08 8:58:02 PM GMT+5,City,power efficient;safety;easy to use,Gas stove,less than 2000,8k-----12k,Both,,2 hrs,agree,No,Disagree,disagree,Agree,yes,Yes,Disagree,Agree,,Disagree,10,,15k-----20k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,10k-----15k,15k-----20k,15k-----20k,
2020/12/09 12:32:33 AM GMT+5,City,cost effective;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Electricity,more innovative ,1 hr,Strongly agree,Maybe,Not sure,disagree,Agree,yes,Yes,Not sure,Not sure,order food from hotel,agree,6,smoke ,less than 10k,10k-----15k,10k-----15k,10k-----15k,less than 10k,15k-----20k,15k-----20k,10k-----15k,
2020/12/09 12:22:50 PM GMT+5,Town,cost effective;power efficient;safety;portable,Gas stove,2000-----4000,8k-----12k,Both,,2 hrs,Strongly agree,Maybe,Agree,Strongly agree,Agree,Maybe,Yes,Agree,Not sure,,Not sure,9,,10k-----15k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,
2020/12/09 3:47:11 PM GMT+5,City,power efficient;safety;long live;easy to use;less pollution,Gas stove,2000-----4000,4k-----8k,Electricity,"least hazards, improved efficiency, may be smart that it can turn on/off (increase/decrease) itself.",1 hr,not sure,Yes,Disagree,agree,Agree,yes,Yes,Agree,Agree,Hotel Zindabad,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,
2020/12/14 12:22:22 PM GMT+5,Town,safety;easy to use,Gas stove,2000-----4000,12k-----16k,Both,A stove which do not depend on Gas or Electricity.,3 hrs,agree,Yes,Strongly agree,Not sure,Strongly agree,yes,Yes,Strongly agree,Strongly agree,We order food from Hostels which is harmful for health ,Not sure,3,Heat create hotness  which is difficult to handle ,less than 10k,15k-----20k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,no
